OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
